canonicalId,name,description,module,path,install_to_gomad
"gm-advanced-elicitation","gm-advanced-elicitation","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.","core","_gomad/core/gm-advanced-elicitation/SKILL.md","true"
"gm-brainstorming","gm-brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_gomad/core/gm-brainstorming/SKILL.md","true"
"gm-distillator","gm-distillator","Lossless LLM-optimized compression of source documents. Use when the user requests to 'distill documents' or 'create a distillate'.","core","_gomad/core/gm-distillator/SKILL.md","true"
"gm-editorial-review-prose","gm-editorial-review-prose","Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose","core","_gomad/core/gm-editorial-review-prose/SKILL.md","true"
"gm-editorial-review-structure","gm-editorial-review-structure","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure","core","_gomad/core/gm-editorial-review-structure/SKILL.md","true"
"gm-help","gm-help","Analyzes current state and user query to answer GoMad questions or recommend the next skill(s) to use. Use when user asks for help, gomad help, what to do next, or what to start with in GoMad.","core","_gomad/core/gm-help/SKILL.md","true"
"gm-index-docs","gm-index-docs","Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder","core","_gomad/core/gm-index-docs/SKILL.md","true"
"gm-party-mode","gm-party-mode","Orchestrates group discussions between installed GOMAD agents, enabling natural multi-agent conversations where each agent is a real subagent with independent thinking. Use when user requests party mode, wants multiple agent perspectives, group discussion, roundtable, or multi-agent conversation about their project.","core","_gomad/core/gm-party-mode/SKILL.md","true"
"gm-review-adversarial-general","gm-review-adversarial-general","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","core","_gomad/core/gm-review-adversarial-general/SKILL.md","true"
"gm-review-edge-case-hunter","gm-review-edge-case-hunter","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.","core","_gomad/core/gm-review-edge-case-hunter/SKILL.md","true"
"gm-shard-doc","gm-shard-doc","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core","_gomad/core/gm-shard-doc/SKILL.md","true"
"gm:agent-analyst","gm:agent-analyst","Strategic business analyst and requirements expert. Use when the user asks to talk to Mary or requests the business analyst.","agile","_gomad/agile/1-analysis/gm-agent-analyst/SKILL.md","true"
"gm:agent-tech-writer","gm:agent-tech-writer","Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the tech writer.","agile","_gomad/agile/1-analysis/gm-agent-tech-writer/SKILL.md","true"
"gm-document-project","gm-document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","agile","_gomad/agile/1-analysis/gm-document-project/SKILL.md","true"
"gm-prfaq","gm-prfaq","Working Backwards PRFAQ challenge to forge product concepts. Use when the user requests to 'create a PRFAQ', 'work backwards', or 'run the PRFAQ challenge'.","agile","_gomad/agile/1-analysis/gm-prfaq/SKILL.md","true"
"gm-product-brief","gm-product-brief","Create or update product briefs through guided or autonomous discovery. Use when the user requests to create or update a Product Brief.","agile","_gomad/agile/1-analysis/gm-product-brief/SKILL.md","true"
"gm-domain-research","gm-domain-research","Conduct domain and industry research. Use when the user says wants to do domain research for a topic or industry","agile","_gomad/agile/1-analysis/research/gm-domain-research/SKILL.md","true"
"gm-market-research","gm-market-research","Conduct market research on competition and customers. Use when the user says they need market research","agile","_gomad/agile/1-analysis/research/gm-market-research/SKILL.md","true"
"gm-technical-research","gm-technical-research","Conduct technical research on technologies and architecture. Use when the user says they would like to do or produce a technical research report","agile","_gomad/agile/1-analysis/research/gm-technical-research/SKILL.md","true"
"gm:agent-pm","gm:agent-pm","Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager.","agile","_gomad/agile/2-plan-workflows/gm-agent-pm/SKILL.md","true"
"gm:agent-ux-designer","gm:agent-ux-designer","UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer.","agile","_gomad/agile/2-plan-workflows/gm-agent-ux-designer/SKILL.md","true"
"gm-create-prd","gm-create-prd","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","agile","_gomad/agile/2-plan-workflows/gm-create-prd/SKILL.md","true"
"gm-create-ux-design","gm-create-ux-design","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","agile","_gomad/agile/2-plan-workflows/gm-create-ux-design/SKILL.md","true"
"gm-edit-prd","gm-edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","agile","_gomad/agile/2-plan-workflows/gm-edit-prd/SKILL.md","true"
"gm-validate-prd","gm-validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","agile","_gomad/agile/2-plan-workflows/gm-validate-prd/SKILL.md","true"
"gm:agent-architect","gm:agent-architect","System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect.","agile","_gomad/agile/3-solutioning/gm-agent-architect/SKILL.md","true"
"gm-check-implementation-readiness","gm-check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","agile","_gomad/agile/3-solutioning/gm-check-implementation-readiness/SKILL.md","true"
"gm-create-architecture","gm-create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","agile","_gomad/agile/3-solutioning/gm-create-architecture/SKILL.md","true"
"gm-create-epics-and-stories","gm-create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","agile","_gomad/agile/3-solutioning/gm-create-epics-and-stories/SKILL.md","true"
"gm-generate-project-context","gm-generate-project-context","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","agile","_gomad/agile/3-solutioning/gm-generate-project-context/SKILL.md","true"
"gm:agent-dev","gm:agent-dev","Senior software engineer for story execution and code implementation. Use when the user asks to talk to Amelia or requests the developer agent.","agile","_gomad/agile/4-implementation/gm-agent-dev/SKILL.md","true"
"gm:agent-sm","gm:agent-sm","Scrum master for sprint planning and story preparation. Use when the user asks to talk to Bob or requests the scrum master.","agile","_gomad/agile/4-implementation/gm-agent-sm/SKILL.md","true"
"gm:agent-solo-dev","gm:agent-solo-dev","Elite full-stack developer for rapid spec and implementation. Use when the user asks to talk to Barry or requests the quick flow solo dev.","agile","_gomad/agile/4-implementation/gm-agent-solo-dev/SKILL.md","true"
"gm-checkpoint-preview","gm-checkpoint-preview","LLM-assisted human-in-the-loop review. Make sense of a change, focus attention where it matters, test. Use when the user says ""checkpoint"", ""human review"", or ""walk me through this change"".","agile","_gomad/agile/4-implementation/gm-checkpoint-preview/SKILL.md","true"
"gm-code-review","gm-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","agile","_gomad/agile/4-implementation/gm-code-review/SKILL.md","true"
"gm-correct-course","gm-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","agile","_gomad/agile/4-implementation/gm-correct-course/SKILL.md","true"
"gm-create-story","gm-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","agile","_gomad/agile/4-implementation/gm-create-story/SKILL.md","true"
"gm-dev-story","gm-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","agile","_gomad/agile/4-implementation/gm-dev-story/SKILL.md","true"
"gm-discuss-story","gm-discuss-story","Use when the user wants to crystallize gray areas for a planned story BEFORE running gm-create-story. Produces {planning_artifacts}/{{story_key}}-context.md with 5 locked sections (domain, decisions, canonical_refs, specifics, deferred) that gm-create-story auto-loads.","agile","_gomad/agile/4-implementation/gm-discuss-story/SKILL.md","true"
"gm-domain-skill","gm-domain-skill","Use when a developer or another skill needs to retrieve reference material from an installed domain-knowledge-base pack. Takes {domain_slug} and optional {query}; returns the best-matching .md file content (BM25 ranked) or a file listing if no query is given. Supports typo fallback via Levenshtein ""did you mean"" suggestions.","agile","_gomad/agile/4-implementation/gm-domain-skill/SKILL.md","true"
"gm-epic-demo-story","gm-epic-demo-story","Create a demo/verification story for a completed epic that defines a walkthrough flow and validates it via Chrome DevTools. Use when the user says ""create epic demo story"", ""create demo story for epic [N]"", ""create verification story for epic"", or wants to demonstrate and verify a completed epic through browser interaction.","agile","_gomad/agile/4-implementation/gm-epic-demo-story/SKILL.md","true"
"gm-qa-generate-e2e-tests","gm-qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","agile","_gomad/agile/4-implementation/gm-qa-generate-e2e-tests/SKILL.md","true"
"gm-quick-dev","gm-quick-dev","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","agile","_gomad/agile/4-implementation/gm-quick-dev/SKILL.md","true"
"gm-retrospective","gm-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","agile","_gomad/agile/4-implementation/gm-retrospective/SKILL.md","true"
"gm-sprint-agent","gm-sprint-agent","Autonomous sprint orchestrator that drives the full story lifecycle: create story, develop, code review, summary, and commit — looping through stories automatically. Use when user says ""start sprint agent"", ""auto sprint"", ""run Elon"", or wants hands-free story execution.","agile","_gomad/agile/4-implementation/gm-sprint-agent/SKILL.md","true"
"gm-sprint-planning","gm-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","agile","_gomad/agile/4-implementation/gm-sprint-planning/SKILL.md","true"
"gm-sprint-status","gm-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","agile","_gomad/agile/4-implementation/gm-sprint-status/SKILL.md","true"
